,n_fires,ret_pct
2022-01-17,23.0,0.28675682661627455
2022-01-18,14.0,-1.0653690567923424
2022-01-19,6.0,-0.964224043394124
2022-01-20,11.0,-1.0112406160797005
2022-01-21,6.0,-0.7875745304668613
2022-01-24,2.0,-2.656790518738339
2022-01-25,3.0,0.7513491221694313
2022-01-27,4.0,-0.971173291462768
2022-01-28,11.0,-0.04793161771092791
2022-01-31,8.0,1.39107178709299
2022-02-01,7.0,1.3667938611870323
2022-02-02,7.0,1.1557838585399605
2022-02-03,9.0,-1.2362248664229525
2022-02-04,6.0,-0.24998826581151823
2022-02-07,5.0,-1.7281112927623465
2022-02-08,2.0,0.30876976246183574
2022-02-09,6.0,1.141215233034587
2022-02-10,10.0,0.8133901085124018
2022-02-11,5.0,-1.312629691281364
2022-02-16,1.0,-0.17432697608654735
2022-02-17,3.0,-0.1016014719190439
2022-02-28,1.0,0.8134034290366632
2022-03-02,1.0,-1.1191633122935585
2022-03-03,1.0,-0.649757722841704
2022-03-04,2.0,-1.5317032007332254
2022-03-07,2.0,-2.352668473994779
2022-03-08,1.0,0.9474776509483585
2022-03-09,1.0,2.0726290088294297
2022-03-10,1.0,1.526738719047449
2022-03-11,2.0,0.21421537513466316
2022-03-14,6.0,1.4482565042708062
2022-03-15,1.0,-1.234645650331223
2022-03-16,1.0,1.8745100484606647
2022-03-17,1.0,1.8361988356508263
2022-03-21,10.0,-0.9802202470463706
2022-03-22,3.0,1.1561223252155806
2022-03-23,15.0,-0.40339354552280104
2022-03-24,13.0,-0.1327893706893679
2022-03-25,19.0,-0.4049875890900112
2022-03-28,15.0,0.4022619949862971
2022-03-29,10.0,0.5998187274997013
2022-03-30,16.0,0.9982465582194733
2022-03-31,9.0,-0.1914477162001882
2022-04-01,18.0,1.1777965258592316
2022-04-04,27.0,2.1671841339984343
2022-04-05,30.0,-0.5317557796472028
2022-04-06,21.0,-0.8339180323571727
2022-04-07,24.0,-0.943974110495216
2022-04-08,16.0,0.8208759390795572
2022-04-11,23.0,-0.6151497975913078
2022-04-12,7.0,-0.8183810641252287
2022-04-13,10.0,-0.3117481628350238
2022-04-18,11.0,-1.7281188010147552
2022-04-19,15.0,-1.2519178806467801
2022-04-20,6.0,1.0490244596548015
2022-04-21,13.0,1.4941678252146096
2022-04-22,7.0,-1.2686452605167986
2022-04-25,4.0,-1.2695122564301942
2022-04-26,11.0,1.4560121616207233
2022-04-27,8.0,-0.9441443610115341
2022-04-28,8.0,1.2128508890934642
2022-04-29,5.0,-0.8263240381694681
2022-05-02,4.0,-0.19559171203674675
2022-05-04,6.0,-2.2936183451936376
2022-05-10,1.0,-0.3790968888092272
2022-05-18,1.0,-0.11685620062508173
2022-05-19,3.0,-2.6532725334179386
2022-05-20,3.0,2.8891038794289337
2022-05-23,4.0,-0.31630222318707046
2022-05-24,1.0,-0.5522754266735541
2022-05-25,1.0,-0.6161219184365629
2022-05-27,2.0,1.1273847198922216
2022-05-30,4.0,1.8893205092962884
2022-05-31,9.0,-0.4612433983534836
