ticker,date,group,ema34_rising10,fresh,swing_pnl,day1_pnl
BEL,2025-04-29,Common,10.0,True,7.663427371111187,2.2922809572136105
BEL,2025-05-12,Common,10.0,False,12.52006211964427,0.08998651433240745
BEL,2025-05-13,Common,10.0,False,11.412168050971117,3.788748564867994
BEL,2025-05-14,Common,10.0,False,7.206379323658374,2.0802722140592422
BEL,2025-05-15,Common,10.0,False,10.142926983579237,1.1129342028342926
BEL,2025-05-16,Common,10.0,False,8.573939419710586,5.710760696938233
BEL,2025-05-19,Common,10.0,False,2.6793839768924688,-0.9666741139455537
BEL,2025-05-21,Common,10.0,False,5.869579517801737,2.0333406594870596
BEL,2025-05-22,Common,10.0,False,3.001533155953151,0.8632275153195312
BEL,2025-05-23,Common,10.0,False,2.2425027793120833,-0.9734793655550522
BEL,2025-05-28,Common,10.0,False,1.4164877376149354,-0.07643395683458731
BEL,2025-06-06,Common,10.0,False,0.1831434683561728,-0.6739830579511219
BEL,2025-06-10,Common,10.0,False,5.532558305381796,-0.14649096085589397
BEL,2025-06-16,Common,10.0,False,4.219474359848707,0.4805465343330928
BEL,2025-06-17,Common,10.0,False,3.5367031090491663,-1.1985821457645263
BEL,2025-06-20,Common,10.0,False,5.545890180996871,0.3571101547477529
BEL,2025-06-23,Common,10.0,False,4.90231767989322,3.482585583420561
BEL,2025-06-24,Common,10.0,False,-0.709519144214743,-0.9921995453273214
BEL,2025-07-01,Common,10.0,False,-5.956733074716524,0.5640001150096552
BEL,2025-09-17,Delta,6.0,False,0.9951527987802411,2.3891236999149523
BEL,2026-01-08,Delta,5.0,True,7.679470158739399,-0.8778387280478306
BEL,2026-01-28,Common,9.0,False,5.474758499953092,7.017886402128659
BEL,2026-02-03,Common,9.0,True,-2.8137985257285947,-4.999594857848743
BEL,2026-02-18,Common,10.0,True,0.5210967618863194,-0.8628812926737006
BEL,2026-03-06,Common,10.0,True,-13.767345089142925,-0.05093018963545637
BEL,2026-04-17,Delta,7.0,True,-5.951639568670575,0.5911362226068917
BELRISE,2025-07-08,Common,10.0,True,9.769962956856592,
BELRISE,2025-07-09,Common,10.0,True,7.312423564570225,
BELRISE,2025-07-10,Common,10.0,False,4.317533487764957,
BELRISE,2025-07-11,Common,10.0,False,3.680424726709819,
BELRISE,2025-07-16,Common,10.0,False,8.031986736753138,
BELRISE,2025-07-18,Common,10.0,False,5.141237980321844,
BELRISE,2025-07-22,Common,10.0,False,8.943236317811643,
BELRISE,2025-07-23,Common,10.0,False,7.126101059191359,
BELRISE,2025-07-24,Common,10.0,False,4.598780298610783,
BELRISE,2025-07-30,Common,10.0,False,15.218516330077625,
BELRISE,2025-07-31,Common,10.0,False,14.361235663689964,
BELRISE,2025-08-01,Common,10.0,False,9.786781251388167,
BELRISE,2025-08-04,Common,10.0,False,7.483562064296101,
BELRISE,2025-08-05,Common,10.0,False,6.885598393639647,
BELRISE,2025-08-19,Common,10.0,False,-2.8759222859806144,
BELRISE,2025-09-10,Common,10.0,True,-1.0598616855254317,
BELRISE,2025-09-15,Common,10.0,True,5.141641847837675,
BELRISE,2025-09-19,Common,10.0,False,-3.820395423220402,
BELRISE,2025-09-23,Common,10.0,False,-6.129134277589099,
BELRISE,2025-11-28,Common,10.0,False,-4.374386735677183,
