group,fresh,swing_pnl,day1_pnl
Common,False,4.509889681475987,1.127441275180141
Common,False,2.7376773595759296,-0.5861094285200541
Common,False,3.7850207226661325,-0.19559962024101596
Common,False,2.9630885417014197,1.1697992163293813
Common,False,3.4633271003204014,0.956927348382064
Common,False,2.3196916281727153,-0.10816364106210896
Common,False,1.7364230603927666,1.2572785373429873
Common,False,2.097099930823898,0.15056145187068992
Common,False,1.3696600813494886,-0.26426174576894557
Common,False,0.45325341131379204,-1.8080957470758774
Common,False,-0.5020170843488825,-1.8553935307621172
Common,True,6.329496919796318,3.9082347570657427
Common,False,0.5776179460640574,3.1570739086969724
Common,False,-3.1961541340541966,-1.545404078189594
Common,False,-0.6822023345005923,-0.6499045175705542
Delta,True,9.14554234452012,5.045477714660063
Delta,False,2.81710355903968,-2.1580208190697725
Delta,False,1.5482148710513455,-1.8165528900176309
Common,False,6.9472504613773856,0.7211779718124145
Common,False,4.813969031168086,-0.5853345804077592
Common,False,3.8061424058683846,0.9123926640834279
Common,False,2.515734558281646,0.49888678156182475
Common,False,5.295162586730906,-1.3845634433260368
Common,False,11.357274892755619,3.558247299370665
Common,False,5.951742090542922,0.7662972481936814
Common,False,3.822699887868919,0.6255860198383312
Common,False,2.299737039657379,-1.2125358687548493
Common,False,1.4632534787159646,0.21692462248608102
Common,False,0.53343554943035,0.028007599627177804
Common,True,5.316568849420067,2.2428358941668947
Common,True,12.848400045228425,1.834577114427871
Common,False,17.854890202458208,10.76509941288295
Common,False,3.8810320238955365,0.8518341262976792
Common,False,3.5098213223096364,1.4581257346882426
Common,False,4.364340821252322,1.240352792234778
Common,True,-2.829834799902353,3.8725391333407355
Common,True,-10.412221065301551,-0.5454393499763732
Delta,True,2.4588501937294227,-0.6549914173956117
Common,True,5.0880198037302815,1.8482692669791856
Common,True,1.2299825590035063,-0.4940516083721813
Common,False,-17.960550513773633,0.4873205614235321
Common,True,1.665194231577627,-0.22049029697739364
Common,True,-14.308000318013114,0.8230977852007548
Delta,True,5.187100368672826,-1.8033193611992515
Delta,True,4.7654290530817045,1.614589081560447
Common,True,-0.09049833892561532,-0.3230778240029375
Common,False,-2.1613513978706034,-2.300687665461809
Common,False,-1.2863111705285202,-0.895977777018786
Common,False,-2.028195996779114,0.863990306744955
Delta,True,-4.874413311904924,-0.002147900345628173
Delta,True,-4.7195392911522855,0.2925106648655973
Delta,True,1.6727986924323979,-1.5288586360670653
Delta,True,7.49925335413737,0.48766070636916403
Delta,False,6.375730982804839,-0.8252204051677703
Common,False,5.260576789742677,0.15354904606810216
Common,False,4.268221183644072,2.0151766420423156
Common,True,2.7655213578389626,-0.10466561720443579
Common,True,-1.397014925373119,-0.6248756218905305
Common,True,-1.3784830786777391,1.3037578903899671
Common,False,1.5994759850332496,-0.9540523527474809
Common,True,6.980770130538527,2.5437077933218033
Common,True,6.2271601971915835,0.37140593637476904
Common,False,5.3075483767552,0.7458941366638827
Common,False,1.28922399803173,-0.9586057115767765
Common,False,7.954436312645274,0.37756306413023744
Common,False,6.582715393806082,1.146111880243006
Common,False,-12.603115986431657,3.138926584374402
Delta,True,-6.628972589492566,-0.5523800901749754
Delta,True,5.866814483291938,4.942960575389899
Common,True,-1.2420492371896574,0.3247151580247243
Common,False,-6.955760499632713,2.877651432806849
Common,False,-7.466432979713444,-1.1537807644476539
Common,False,-4.229499108461477,-1.1152190054883437
Common,False,-5.045902503907895,0.7290252348384207
Common,False,-4.565535978059277,-1.432396626351573
Delta,True,2.893320761739626,0.3003275988582965
Delta,True,-1.0527718644666617,0.39090603387281764
Common,True,-0.8548384577028556,-1.5969874384980987
Delta,True,4.341352212580918,1.2266816889717314
Delta,True,-2.4564309073001223,1.702923483172647
Delta,True,-3.186059690166687,-0.8928865605745906
Common,True,0.1845521108383208,-0.3925732720692743
Delta,True,18.295590774093572,9.10360843395499
Delta,False,5.511564964184279,-0.25423007213321025
Delta,False,4.3380789011660426,-1.1711313522394629
Common,False,3.388190468094887,-1.808637712354566
Common,False,8.368113485538098,3.4873013832459554
Common,False,8.842150111480972,-1.4925359331714905
Common,False,6.116878671446213,2.655351361372249
Common,False,-9.743037741725669,0.4291920685246309
Common,False,-6.208560917667572,1.5181543699853473
Common,False,-6.921008958413388,-4.244550504078459
Common,True,-0.45414413881962323,-0.2590000275055071
Delta,True,1.5107927842541002,-0.9136145433719989
Delta,True,-1.5074350360699595,0.1368213744652902
Delta,True,-4.718409458339979,-0.976129323730579
Common,True,-7.433652330674844,-0.19078467482045447
Common,True,2.8706000512853658,0.4490793362763368
Common,True,-1.066342792572328,-3.7354975759301356
Delta,True,-2.934659971849274,-1.2564113506451369
Common,True,-12.573362364653173,1.0808389957730924
Common,False,2.4475608838463225,1.5025375634390992
Common,False,5.977743838695049,-0.5169326516593853
Common,False,4.953754843804226,-0.4879034879511579
