ticker,i,vol_zscore,body_atr_daily,dist_to_trigger_pct,consolidation_days,immediate_fade,swing_pnl,day1_pnl
ACE,995,7.476093532656502,0.9852024076325208,1.5813809891668917,4,False,-4.708602026835685,
ACUTAAS,835,1.0774948513672205,0.7665535557997677,3.9285880994400557,1,False,14.382474240868204,
ACUTAAS,837,-0.4570700294937542,0.27708116491413476,-0.09288609436541861,2,False,7.180025717980243,
ACUTAAS,838,-0.44482826346783944,0.4623708769011594,0.5769201983404582,2,False,-11.921433463539532,
ACUTAAS,839,-0.29360193835597276,0.9500958974807276,3.5119272394894985,2,False,-13.702177932535331,
ACUTAAS,840,-0.6487826031533084,0.21295480455339102,0.026094684233823884,1,True,-15.461250113500679,
ADANIENSOL,208,2.048620520507144,0.9509988917300453,4.073707670684645,1,False,13.216158159388058,5.182333575252707
ADANIENSOL,209,0.6460934221842242,0.7073558108357757,-4.44791936461969,1,False,7.1067740736024065,-2.5354030349055923
ADANIENSOL,349,-0.5969332754705514,0.3639975354427318,-0.3149027207879129,6,True,-27.881286221935476,-0.10365588394836145
ADANIENSOL,481,3.377744144944899,1.1335948532450697,-1.713259065640793,3,False,2.9136670637397444,-3.212289678534952
ADANIENSOL,557,3.6192944634425444,0.7087098353170037,-0.40652972756003436,4,False,2.7779137219726024,-0.6055574431558131
ADANIENSOL,560,0.0998435222632819,1.6577963095432509,-5.832655853416258,3,False,8.536795440037782,-5.905598521907907
ADANIENSOL,561,4.092455529428039,3.5570363426100156,11.352425120431132,3,False,8.7133939355724,16.753692836128952
ADANIENSOL,562,2.691090951879367,0.46351643411304194,6.833962116309111,2,False,-6.172754379027834,6.833962116309111
ADANIENSOL,616,12.432208357636503,2.0468547596425894,6.759586196313649,1,False,-13.954215927147063,7.290590710915756
ADANIENSOL,673,2.6750937465510276,0.05768204125163693,-1.5912438547321273,5,True,-0.1596086744005465,0.0315625778058104
ADANIENSOL,719,0.3562640768022814,0.4260408385282945,-1.5057705158235013,6,False,-6.724527681468484,-3.0679387643189004
ADANIENSOL,720,7.7795302746201935,2.800843685412054,8.560542419554974,6,False,-8.248800915374533,6.415215825360088
ADANIENSOL,787,5.210634489948445,1.3897378141474062,4.492662377415946,4,True,-32.30743701816191,-2.3130043762628616
ADANIENSOL,876,-0.882620333749032,0.4687272115348122,-0.6100253678850143,2,False,9.115827008501132,0.14628950853801115
ADANIENSOL,877,-1.2114686731938182,0.3995075526038506,1.086032064163911,3,False,8.407590579450886,1.8436464015201715
ADANIENSOL,1002,21.1256623557722,0.5585218134952991,3.166204957959917,8,False,10.281926586225199,3.671949026384791
ADANIENSOL,1135,7.364246022890786,1.1863587430261975,2.3931205743215944,0,False,10.463981570008318,2.383571230317738
ADANIENSOL,1137,5.7332455053044775,1.6674161223445396,6.18795647697572,1,False,12.121418308085152,2.7122452254854768
ADANIENSOL,1138,0.5213798645111721,1.1365638432052048,0.7801413563495618,1,False,4.836036112374065,2.4693813642899354
ADANIENSOL,1139,-0.48930639946600235,0.4961206244608315,-1.8468387132300146,1,False,14.659381599975486,-0.9249373755302215
ADANIENSOL,1140,-0.046718780370825025,0.8287733687047666,0.8971914994551522,2,False,12.904832311107395,1.8833920985281694
ADANIENT,32,3.6224306186147555,1.2254657872353818,1.8565646927096502,7,False,-2.975333344605824,3.5022549616509746
ADANIENT,48,1.0813071517674573,1.2549105152103737,2.919606560020549,5,False,10.099977411984984,2.2966012192143115
ADANIENT,49,0.410302503570426,0.4718535883766307,-0.6864426759549014,4,False,4.933443021668338,-1.0373089345316777
ADANIENT,50,1.4495493800188661,0.2323096684809709,-1.7427675139095378,4,False,3.2530142188302413,-0.9519396594651175
