group,close_d0,close_d1,close_d2,close_d3,close_d5,close_d10,mfe,mae,max_h
Common,1.576633876074185,-1.2734608540217796,1.45791069731247,12.848400045228425,14.262491585926917,19.057409044090633,21.548504702163918,-1.6133847143896873,15
Common,10.065494086784167,11.397157984754136,11.444713322932309,14.489210784881369,17.854890202458208,13.503559931362874,20.82838784740748,-3.7453367363273538,15
Common,0.9144156131649206,1.7187906286667998,3.8810320238955365,2.2273097071074055,2.3366671176058063,1.0699437793327382,6.5019670020481035,-15.158091957271203,15
Common,1.3905241995944007,-0.22355076012632313,-0.10080944285295601,-0.11681515152173194,-2.3529238354767723,-9.076085858980587,3.9486232687951484,-17.19214410030776,15
Common,0.9858056195000131,-11.293202883443886,-9.604511539040105,-7.582020808231393,-6.720607775215592,2.5940809381423735,5.867906949121715,-19.211356634314637,15
Common,2.397311786759304,0.6604172520171758,-3.006360099105143,-3.059717900088821,-3.8997845378072493,-2.513667933861774,3.8725391333407355,-6.506257130633186,15
Common,-0.547155403097388,-0.9624959743928851,-2.330067736617092,-1.9712009134858266,-3.489384195084122,-13.045225999443467,-0.5454393499763732,-19.51847923835973,15
Common,1.3575401790014263,1.9836811449032599,2.5037722933521467,2.705093746634324,5.0880198037302815,-7.681059314423566,7.140204309198017,-13.71777723926657,15
Common,-1.0654604767463827,-0.16736960086319863,1.2299825590035063,0.3220841208672054,-4.422341028664,-15.281995431149365,3.20682637130818,-16.885407855871893,15
Common,0.4226148504227645,-0.4780425721261361,0.5789329334453308,-5.1846281847466535,-11.779578288927095,-14.95051039721693,1.5901022530058873,-20.583525003592918,15
Common,-0.41698274570816096,-1.3408218900640811,-0.7455438894874877,1.665194231577627,-1.3395321567139962,-10.511543226728115,2.5626158620945194,-14.083192356041085,15
Common,0.8230977852007548,-0.1084190539213492,-2.1567403467604773,-6.057232747987939,-11.07515976924801,-11.675090580230984,1.7130860401983972,-15.99981593653026,15
Common,-0.38122269527226527,-0.08219192874427961,-0.0738855185629439,0.39957986177303617,-0.7467047432509255,3.2486785539702856,3.9962554702902775,-2.2335521657095514,15
Common,-2.120370142696726,-2.0629963854532862,-1.726950093027435,-0.9646987467932133,-0.80077372609767,-1.661380084749231,2.6170629554042035,-4.103862893112686,15
Common,-1.5790612156608153,1.0800850276242224,0.31568213200101614,-1.1643319850567213,-2.432915513963352,-2.928964201548634,1.8119601404549712,-4.8562353320029334,15
Common,0.1389296735495149,-0.618355876676846,-2.084589601583209,-2.9868872784486578,-3.099674488056836,-4.557851983705463,0.863990306744955,-5.7421176845913635,15
Common,-0.4298696862390816,-1.3092254566731132,-0.5397891575433356,-3.2793205962031946,0.06899560660329485,1.176645663592324,5.691799331013203,-3.693632449580775,15
