ticker,i,date,swing_pnl,day1_pnl,early_version
DLF,754,2024-09-23,-4.58039252252499,2.885121747339503,False
DLF,755,2024-09-24,-4.205847801254869,-0.9306026992350502,False
DLF,911,2025-05-15,4.974272165452653,1.1817325823624936,False
DLF,912,2025-05-16,10.934894512679039,0.4877973601464358,False
DLF,913,2025-05-19,9.209206539501347,5.941529493437536,False
DLF,914,2025-05-20,6.87428890729036,2.9493904746817456,False
DLF,1139,2026-04-17,-1.7624058175782276,0.19319220299518491,True
DLF,1141,2026-04-21,-5.547891263866267,-0.11091328248394872,True
DLF,1178,2026-06-15,7.239179727659062,2.164038576497118,False
DLF,1179,2026-06-16,4.058143102471412,1.5477184849427283,False
DLF,1181,2026-06-18,1.8497276468986579,0.3267685242426932,False
DMART,215,2022-07-11,1.0385940868443466,-0.18453279651063914,False
DMART,745,2024-09-05,0.3227406644960462,2.1552863649603182,True
DMART,747,2024-09-09,-5.413107791032568,-0.492872459010929,True
DMART,879,2025-03-20,2.6271384457540625,-0.16515862777952695,True
DMART,880,2025-03-21,1.8991106017546722,-0.6185539426244002,True
DMART,1099,2026-02-10,-5.24904525747637,1.1274807126539832,False
DMART,1132,2026-04-01,12.793437660700246,4.791110508323904,False
DMART,1133,2026-04-02,7.233697640326375,3.0981861292972646,False
DMART,1134,2026-04-06,4.819911056502102,1.5859772061770139,False
DMART,1187,2026-06-23,-10.168153210506636,0.48098991953917647,False
DRREDDY,84,2021-12-30,-5.76392165035039,0.648740339011944,False
DRREDDY,181,2022-05-24,0.9627102313246372,0.9765071025040317,False
DRREDDY,287,2022-10-25,0.11956039175453625,0.9959139655269178,True
DRREDDY,599,2024-01-31,5.933594691516375,1.851639823033957,False
DRREDDY,698,2024-06-28,6.985733064775634,2.3771671949608386,True
DRREDDY,699,2024-07-01,4.143613292450343,-1.6599246756869745,True
DRREDDY,816,2024-12-18,8.506630958424077,-0.43113510111794096,False
DRREDDY,817,2024-12-19,7.926406311290934,2.997891106528261,False
DRREDDY,818,2024-12-20,3.84476585423541,1.7932103090001261,False
DRREDDY,822,2024-12-27,-4.808530509818598,1.0218888141063642,False
DRREDDY,912,2025-05-13,3.0779751721166093,0.18786142549700457,False
DRREDDY,995,2025-09-09,-5.530928027808956,-0.07291497390691237,False
DRREDDY,996,2025-09-10,-4.421410137973836,0.13214916794987985,False
DRREDDY,998,2025-09-12,-5.23355946537809,-0.6568967205116572,False
DRREDDY,1051,2025-12-01,1.1577095190927977,-0.6472725391828194,False
DRREDDY,1052,2025-12-02,0.6552946652430336,0.6631350018708959,False
DRREDDY,1053,2025-12-03,-1.4705086413764334,-0.3184868375045058,False
DRREDDY,1098,2026-02-09,2.7644775726104465,0.5321740561190058,False
DRREDDY,1190,2026-06-29,-11.579304419073,0.37851826706527536,False
EICHERMOT,86,2022-01-03,6.166049781594163,3.7359875572448686,False
EICHERMOT,88,2022-01-05,-3.3075838452807815,0.026641078676070684,True
EICHERMOT,89,2022-01-06,-6.883148730473964,0.7507266534710011,True
EICHERMOT,149,2022-04-05,4.769617539054982,0.008260226795475667,False
EICHERMOT,176,2022-05-17,0.2406927743154652,2.175172693803251,False
EICHERMOT,177,2022-05-18,-2.900132629926766,-3.8952639036822556,False
EICHERMOT,287,2022-10-25,3.969972422065382,1.0159527688052394,True
EICHERMOT,402,2023-04-13,6.182913804388246,2.349935536941694,False
EICHERMOT,403,2023-04-17,3.3422361357312136,-0.5837312646236437,False
EICHERMOT,404,2023-04-18,2.62607987547665,-0.19325770741023263,False
EICHERMOT,405,2023-04-19,0.20368255295366566,0.43437331863789286,False
EICHERMOT,548,2023-11-15,13.185097577588255,4.187905339374565,True
EICHERMOT,785,2024-11-01,-0.8192828993328405,0.6025442553791782,False
EICHERMOT,799,2024-11-25,-3.981251718009682,-0.5977244715326013,False
EICHERMOT,826,2025-01-02,2.7406182167780235,6.933616965496059,False
EICHERMOT,827,2025-01-03,-2.806795204325463,-0.8568788328526145,False
EICHERMOT,879,2025-03-20,5.012336021051178,1.6233681504140174,False
EICHERMOT,880,2025-03-21,4.611991614165145,0.7616497271181855,False
EICHERMOT,881,2025-03-24,3.257206536082391,1.9685924555995493,False
EICHERMOT,882,2025-03-25,0.8338075020790425,-0.9005576526504133,False
EICHERMOT,945,2025-06-27,-0.9375942050032893,-0.36548790765323913,True
EICHERMOT,1046,2025-11-24,-1.6506640979695453,0.24133323666193363,False
EICHERMOT,1101,2026-02-12,-2.849621208499442,0.7136004793457662,False
EICHERMOT,1102,2026-02-13,-9.26392135707006,0.8823852624428197,False
EICHERMOT,1152,2026-05-04,1.1117657327398112,-0.10201187047219618,False
EICHERMOT,1154,2026-05-06,0.38939141131790755,-0.3350262364438139,False
EICHERMOT,1155,2026-05-07,-0.20137408197108408,-1.7426396157739332,False
EICHERMOT,1181,2026-06-15,-4.299293524897085,3.554563845400116,False
ENGINERSIN,653,2024-04-26,-6.2072114926943645,,False
ENGINERSIN,654,2024-04-29,5.612294659454942,,False
ENGINERSIN,655,2024-04-30,3.9621012094341213,,False
ENGINERSIN,656,2024-05-02,1.033297489978935,,False
ENGINERSIN,1100,2026-02-16,6.443967731098987,,False
ENGINERSIN,1182,2026-06-19,-7.849026807755932,,False
ENGINERSIN,1183,2026-06-22,-12.111901647857115,,False
ENGINERSIN,1184,2026-06-23,-12.497983195626505,,False
ENRIN,103,2025-11-18,-11.701482906683925,,False
ENRIN,163,2026-02-13,4.794868008801112,,True
ENRIN,204,2026-04-20,-0.5105331439578809,,True
